NgayDat,TenKhuon,Kgmet,Sosoi,Kieu,KichThuoc,PhoiIcn,HangKhuon,DonHangDat,Ghichu
2020-08-06,0150A-5-81,0.21699999272823334,1.0,Kín,178x120,4,,,
2020-09-16,0150N-20-81,,1.0,Kín,178X120,4,,,Nhờ Giang HD đặt.
2020-09-16,0150N-21-81,,1.0,Kín,178X120,4,,,Nhờ Giang HD đặt.
2020-09-16,0150N-22-81,,1.0,Kín,178X120,4,,,Nhờ Giang HD đặt.
2020-08-06,0151-44-81,0.2329999953508377,1.0,Kín,128x120,4,,,
2020-08-06,0151-45-81,0.2329999953508377,1.0,Kín,128x120,4,,,
2020-08-06,0151-46-81,0.2329999953508377,1.0,Kín,128x120,4,,,
2020-09-03,0151A-7-81,,1.0,Kín,178X120,4,JG,,GĐ-J10/20
2020-09-03,0151A-8-81,,1.0,Kín,178X120,4,JG,,GĐ-J10/20
2020-07-24,1013-295X-81,,1.0,Kín,,4,,,
2020-07-24,1013-296X-81,,1.0,Kín,,4,,,
2020-07-24,1013-297X-81,,1.0,Kín,,4,,,
2020-07-24,1013-298X-81,,1.0,Kín,,4,,,
2020-07-24,1013-299X-81,,1.0,Kín,,4,,,
2020-07-24,1013-300X-81,,1.0,Kín,,4,,,
2020-07-24,1013-301X-81,,1.0,Kín,,4,,,
2020-07-24,1013-302X-81,,1.0,Kín,,4,,,
2020-07-24,1013-303X-81,,1.0,Kín,,4,,,
2020-07-24,1013-304X-81,,1.0,Kín,,4,,,
2020-11-28,1014-301-81,,,Kín,,,,,"ĐN-Thành, Ngoan(CN295)"
2020-11-28,1014-302-81,,,Kín,,,,,"ĐN-Thành, Ngoan(CN295)"
2020-07-30,1016-244-81,0.21699999272823334,1.0,Kín,178x120,4,,,
2020-07-30,1016-245-81,0.21699999272823334,1.0,Kín,178x120,4,,,
2020-07-30,1016-246-81,0.21699999272823334,1.0,Kín,178x120,4,,,
2020-07-30,1016-247-81,0.21699999272823334,1.0,Kín,178x120,4,,,
2020-07-30,1016-248-81,0.21699999272823334,1.0,Kín,178x120,4,,,
2020-07-24,1017-196X-81,,1.0,Kín,,4,,,
2020-07-24,1017-197X-81,,1.0,Kín,,4,,,
2020-07-24,1017-198X-81,,1.0,Kín,,4,,,
2020-07-24,1017-199X-81,,1.0,Kín,,4,,,
2020-07-24,1017-200X-81,,1.0,Kín,,4,,,
2020-07-24,1017-201X-81,,1.0,Kín,,4,,,
2020-07-24,1017-202X-81,,1.0,Kín,,4,,,
2020-07-24,1017-203X-81,,1.0,Kín,,4,,,
2020-07-24,1017-204X-81,,1.0,Kín,,4,,,
2020-07-24,1017-205X-81,,1.0,Kín,,4,,,
2020-07-24,1017-206X-81,,1.0,Kín,,4,,,
2020-07-24,1017-207X-81,,1.0,Kín,,4,,,
2020-07-24,1017-208X-81,,1.0,Kín,,4,,,
2020-07-24,1017-209X-81,,1.0,Kín,,4,,,
2020-07-24,1017-210X-81,,1.0,Kín,,4,,,
2020-07-24,1017-211X-81,,1.0,Kín,,4,,,
2020-07-24,1017-212X-81,,1.0,Kín,,4,,,
2020-07-24,1017-213X-81,,1.0,Kín,,4,,,
2020-07-24,1017-214X-81,,1.0,Kín,,4,,,
2020-07-24,1017-215X-81,,1.0,Kín,,4,,,
2020-07-29,1017-216X-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-07-29,1017-217X-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-07-29,1017-218X-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-07-29,1017-219X-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-07-29,1017-220X-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-10-15,1017-221X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-222X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-223X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-224X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-225X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-226X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-227X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-228X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-229X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-230X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-231X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-232X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-233X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-234X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-235X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-236X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-237X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-238X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-239X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-240X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-241X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-242X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-243X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-244X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-245X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-246X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-247X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-248X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-249X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-10-15,1017-250X-81,,1.0,Kín,178X120,4,XS,XS003/20,Giang đặt
2020-08-03,1017-293V-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-08-03,1017-294V-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-08-03,1017-295V-81,,1.0,Kín,,4,,,Giang đặt thêm
2020-08-03,1017-296V-81,,1.0,Kín,,4,,,Giang đặt thêm
