NgayDon,SoDon,GhiChuDon,Trang 1,Trang 2
2021-11-25,21BRS02092,"TT theo HĐ-làm mới 2 DIE khuôn DQA009N-(4,5)-Giang ĐN.",,
,AP23/001,khách gửi 3 bộ khuôn lên chạy,,
,AP23/002,An phú gửi 1 bộ APVS18 từ HP lên,,
2020-02-04,BR001/20,Đặt 33 bộ+2 áo khuôn (ghi sai 34 bộ). NT-12/6/20.,E:\KHUON\DON GIANG\BR\No 20.001BR\No 01-20.jpg#E:\KHUON\DON GIANG\BR\No 20.001BR\No 01-20.jpg#,
2020-01-08,BR001/21,Báo giá-Đặt 14 bộ khuôn.,,
2022-01-06,BR001/22,,,
2020-02-28,BR002/20,31 Bộ+2 dao cắt 802.NT-12/6/20.,E:\KHUON\DON GIANG\BR\No 20.002BR\No 02-20\No 02-20.jpg#E:\KHUON\DON GIANG\BR\No 20.002BR\No 02-20\No 02-20.jpg#,
2021-01-14,BR002/21,Đặt 4 bộ khuôn.,,
2022-01-08,BR002/22,,,
2020-03-13,BR003/20,40 bộ khuôn. NT-12/6/20.,E:\KHUON\DON GIANG\BR\No 20.003BR\No 03-20\Bro No 03-20.jpg#E:\KHUON\DON GIANG\BR\No 20.003BR\No 03-20\Bro No 03-20.jpg#,
2021-01-21,BR003/21,5 bộ khuôn+01 đệm 1350T-279x71,,
2022-01-13,BR003/22,,,
2020-03-16,BR004/20,1 bộ k.,E:\KHUON\DON GIANG\BR\No 20.004BR\No 04-20.pdf#E:\KHUON\DON GIANG\BR\No 20.004BR\No 04-20.pdf#,
2021-01-29,BR004/21,13 bộ khuôn-01 áo 638+3 đệm 1350-279x71,,
2022-01-17,BR004/22,,,
2020-03-20,BR005/20,1 bộ,E:\KHUON\DON GIANG\BR\No 20.005BR\No 05-20\Bro No 05-20.jpg#E:\KHUON\DON GIANG\BR\No 20.005BR\No 05-20\Bro No 05-20.jpg#,
2021-02-02,BR005/21,Báo giá 9 bộ khuôn + 01 dêm 4824C.,,
2022-01-21,BR005/22,,,
2020-04-17,BR006/20,Đặt 23 bộ,E:\KHUON\DON GIANG\BR\No 20.006BR\Bro No 06-20.jpg#E:\KHUON\DON GIANG\BR\No 20.006BR\Bro No 06-20.jpg#,E:\KHUON\DON GIANG\BR\No 20.006BR\Bro No 06-20.jpg#E:\KHUON\DON GIANG\BR\No 20.006BR\Bro No 06-20.jpg#
2021-02-19,BR006/21,"Đặt 5 bộ khuôn, 03 đệm CD EKF.",,
2022-01-25,BR006/22,,,
2020-04-25,BR007/20,"Đặt 31 bộ; Thiếu: VIC03NT-5,VIC03BNT-4",E:\KHUON\DON GIANG\BR\No 20.007BR\Bro No 07-20.jpg#E:\KHUON\DON GIANG\BR\No 20.007BR\Bro No 07-20.jpg#,
