Nam,Thang,HSDC1,HSDC2,GhiChu
2020,1,1.165199743,1.049346558,
2020,2,1.000334962,1.013597263,
2020,3,1.017314550878356,1.023801575,
2019,1,1.0,1.0,
2019,2,1.0,1.0,
2019,3,1.0,1.0,
2019,7,1.0,1.0,
2019,8,1.0,1.0,
2019,9,1.0,1.0,
2019,10,1.0,1.0,
2019,11,1.0,1.0,
2019,12,1.0,1.0,
2019,4,1.0,1.0,
2019,5,1.0,1.0,
2019,6,1.0,1.0,
2020,4,1.033135757575758,1.03132396645807,
2020,5,1.051082944185012,1.124476721816083,
2020,6,1.04621506294005,1.03454245127189,
2020,7,1.003643749688381,1.000211308841875,
2020,8,1.06044784201129,1.04909490943409,
2020,9,1.02473685680851,1.085845305176236,
2020,10,1.00625937372721,1.0252343186734,
2020,11,1.03833096142475,1.074796218871,
2020,12,0.984330871442624,1.04167123153559,
2021,1,1.0,1.0,
2021,2,1.0,1.0,
2021,3,1.0,1.0,
2021,4,1.0,1.0,
2021,5,1.0,1.0,
2021,6,1.0,1.0,
2021,7,1.0,1.0,
2021,8,1.0,1.0,
2021,9,1.0,1.0,
2021,10,1.0,1.0,
2021,11,1.0,1.0,
2021,12,1.0,1.0,
