ID,TenKhuon,Dot,DoDay,DoCung,Sosoi,Kieu,KichThuoc,ViTri,DonHang,Ngay,KTPHOI,Tra,NT,NNT,TLY,NgayTL,Ghichu
5232,001-1-11,2020,,,,,,Giá11-T3-X1,,,,,,,,,Sào dương cực
8062,001-1-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
1,001-2-81,VW214,,,,,,Giá4-Kho-T2,,,,,,,,,VW ®ît 214 - 17/08/2013
2,001-3-11,JXS13,0.0,0.0,,,,Giá13-T1-X1,,,,,,,,,Foshan ®ît 13 - 11/11/2015
3,001-5-11,VW287,,,,,,Giá20-T2-X1,,2016-12-20,,,,,,,HP đợt 31- 16/10/2016VW đợt 287- 20/12/2016
4,001-6-11,DA43,,,,,,Giá8-T2-X1,,2017-03-04,,,,,,,HHT đợt 09 - 30/04/2010ĐA đợt 43- 04/03/2017
5,001A-1H-11,HP31,,,,,,Giá6-T2-X1,,,,,,,,,HP31- 16/10/2016
6,002-1-81,HHT09,,,,,,Giá11-T3-X1,,,,,,,,,30/04/2010.Sào mới.
7,008-10H-11,HP125,0.0,0.0,,,,Giá11-T3-X1,,,,,,,,,HP đợt 125- 27/10/2018
9,008-2-11,HP20,0.0,0.0,,,,Giá19-T1-X1,,,,,,,,,HP ®ît 20- 04/08/2016
10,008-5-11,VW288,0.0,0.0,,,,Giá8-T3-X1,,,,,,,,,VW đợt 288- 25/12/2016
11,008-5h-11,2018,0.0,0.0,,,,,,,,,,,,,
6511,008-7H-11,2020,,,1.0,,,Giá11-T2-X1,,,,,,,,,Hp đợt 78- 29/07/2017
12,008-9H-11,HP125,0.0,0.0,,,,Giá 11-2(Việt-31/7/21),,,,,,,,,HP đợt 125- 27/10/2018
13,0150-2-81,VW174,0.0,0.0,,,,Giá6-T3-X1,,,,,,,,,VW ®ît 174 - 17/04/2011
14,0150-3H-81,HP113,0.0,0.0,,,,Giá5-T3-X2,,,,,,,,,HP đợt 113- 01/06/2018
15,0150A-14-81,VW205,,,,,,Giá6-T3-X1,,,,,,,,,VW ®ît 205 - 02/04/2013
6512,0150A-18-81,VW222,,,1.0,,,Giá8-Kho-T4,,2013-10-18,,,,,,,
17,0150A-20-81,DA09,0.0,0.0,,,,Giá4-T2-X2,,,,,,,,,X1DA ®ît 09 - 21/07/2014
18,0150A-22-81,DA20,0.0,0.0,,,,Giá 10-3(Việt-31/7/21),,,,,,,,,x1§A ®ît 20 - 10/06/2015
8063,0150A-5-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8064,0150A-6-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
8065,0150B-12-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8066,0150B-13-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
5219,0150B-14-81,VW205,,,,,,Giá6-T3-X1,,,,,,,,, 02/04/2013
19,0150B-15-81,VW205,0.0,0.0,,,,Giá5-T1-X2,,,,,,,,,VW ®ît 205 - 02/04/2013
20,0150B-16-81,DA02,0.0,0.0,,,,Giá4-T3-X2,,,,,,,,,DA ®ît 02 - 24/12/2013
21,0150B-17-81,DA02,0.0,0.0,,,,Giá6-T3-X1,,,,,,,,,DA ®ît 02 - 24/12/2013
8067,0150B-5-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
22,0150B-9-81,JG186,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,JG ®ît 186 - 09/12/2011
23,0150C-1-81,VW110,,,,,,Giá6-T3-X1,,,,,,,,,VW ®ît 110 - 09/06/2008
24,0150E-1-81,JG227,,,,,,Giá6-Kho-T1,,,,,,,,,JG ®ît 227 - 05/10/2013
5220,0150H-03-81,2020,,,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,
8068,0150H-04-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8069,0150H-06-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
8070,0150H-07-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
25,0150H-10H-81,HP97,,,,,,Giá10-Kho-T3,,,,,,,,,HP đợt 97- 25/11/2017
26,0150h-11-81,2019,,,,,,,,,,,,,,,
27,0150H-11H-81,HP110,0.0,0.0,,,,Giá10-Kho-T2,,,,,,,,,HP đợt 110- 29/03/2018
28,0150H-12H-81,HP110,0.0,0.0,,,,Giá10-Kho-T3,,,,,,,,,HP đợt 110- 29/03/2018
29,0150H-13H-81,HP126,0.0,0.0,,,,,,,,,,,,,
5221,0150H-14-81,2020,,,,,,Giá10-Kho-T2,,,,,,,,,
30,0150H-14H-81,HP126,0.0,0.0,,,,,,,,,,,,,
31,0150H-15H-81,HP131,,,,,,Giá10-Kho-T3,,,,,,,,,HP đợt 131-4/3/2019
32,0150H-16H-81,HP131,,,,,,Giá12-Kho-T1,,,,,,,,,HP đợt 131-4/3/2019
33,0150h-17-81,BR87,,,,,,Giá3-T2-X2,,,,,,,,,Bro đợt 87- 16/4/2019
34,0150h-17l-81,VLT09,,,,,,Giá2-T2-X2,,,,,,,,,VLT đợt 07-11/07/2019
35,0150h-18-81,BR87,,,,,,Giá11-Kho-T1,,,,,,,,,Bro đợt 87- 16/4/2019
5860,0150H-19-81,JG20.002,,,1.0,Kín,178x120,Ngoài X2,JG002/20,2020-03-26,,,,,,,178X120-1JG ®ît 02/2020 - 26/03/2020
5861,0150H-20-81,JG20.002,,,1.0,Kín,178x120,Ngoài X2,JG002/20,2020-03-26,,,,,,,178X120-1JG ®ît 02/2020 - 26/03/2020
8071,0150H-5-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
36,0150H-9-81,HP07,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,HP ®ît 8- 05/05/2016
8072,0150K-03-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8073,0150K-04-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
8074,0150K-06-81,CU-PT,,,,,,Trong cùng-Kho,,2019-07-01,,,,,,,
8075,0150K-07-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8076,0150K-10-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
37,0150K-13-81,DA56,0.0,0.0,,,,Giá10-Kho-T1,,,,,,,,,ĐA đợt 56- 18-10-2017
38,0150K-14-81,CB17,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,ĐA đợt 57- 04/11/2017
39,0150K-15-81,DA59,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,ĐA đợt 59- 28/12/2017
40,0150K-16-81,DA59,0.0,0.0,,,,Giá6-T3-X2,,,,,,,,,ĐA đợt 59- 28/12/2017
41,0150K-17-81,DA60,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,ĐA đợt 60- 16/04/2018
42,0150K-18-81,DA62,0.0,0.0,,,,Giá3-T1-X2,,,,,,,,,ĐA đợt 62- 15/07/2018
8077,0150K-2-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8078,0150K-5-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
8079,0150K-9-81,CU-PT,,,,,,Tủ điện-Kho,,2019-07-01,,,,,,,
43,0150M-10H-81,HP127,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,HP đợt 127- 06/12/2018
44,0150M-11H-81,HP127,0.0,0.0,,,,,,,,,,,,,
45,0150m-12h-81,HP131,0.0,0.0,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,HP đợt 131-4/3/2019
46,0150m-13h-81,HP131,0.0,0.0,,,,Giá11-Kho-T2,,,,,,,,,HP đợt 131-4/3/2019
47,0150M-14-81,VLT05,,,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,VLT đợt 05-27/03/2019
48,0150M-15-81,VLT05,,,,,,Giá4-T2-X2,,,,,,,,,VLT đợt 05-27/03/2019
49,0150m-16-81,BR90,,,,,,Trên balet Thẳng cửa(Việt-31/7/21),,,,,,,,,Bro đợt 94- 04/07/2019
50,0150m-17-81,BR90,,,,,,G14.0.0.000-KHO (cạnh tường vào). Trường -4/5/22.,,,,,,,,,Bro đợt 94- 04/07/2019
6513,0150M-1-81,2020,,,1.0,,,Giá11-Kho-T2,,,,,,,,,§A ®ît 23 - 22/11/2015
52,0150M-18-81,BR101,0.6200000047683716,55.0,,,,G14.0.0.000-KHO (cạnh tường vào). Trường -4/5/22.,,,,,,,,,178X120-1Bro đợt 101- 07/10/2019
53,0150M-19-81,BR101,0.6200000047683716,55.0,,,,Giá2-T1-X2,,,,,,,,,178X120-1Bro đợt 101- 07/10/2019
54,0150M-20-81,VW19.002,0.6200000047683716,55.0,,,,Giá1-T3-X2,,,,,,,,,178X120-1VW ®ît 02/2019 -18/10/2019
