Ngay,TenKhuon,Hieuqua,SoThanh,Kgthanh,TinhTrang,Phoi,Sk
2006-01-19,1111-10-81,80.0,,,,,
2006-02-24,1111-10-81,1.0,,, ch.M_1350 ,,
2006-02-24,1111-10-81,3.0,,, ch.M_880 ,,
2008-08-24,1111-10-81,3.0,,,M800.B,,
2008-08-24,1111-10-81,3.0,,,M800.B,,
2009-08-24,1014-23-11,1.0,,, ch.M_1350 B,,
2009-08-30,1014-23-11,1.0,,, ch.M_1350 B,,
2009-09-03,1014-23-11,1.0,,, ch.M_1350 B,,
2009-09-04,1014-23-11,2.0,,, ch.M_1350 B,,
2009-09-06,1014-23-11,1.0,,, ch.M_1350 B,,
2009-09-23,1014-23-11,2.0,,, ch.M_1350 A,,
2009-09-24,1014-23-11,2.0,,, ch.M_1350 B,,
2009-09-25,1014-23-11,8.0,,, ch.M_1350 B,,
2009-09-26,1014-23-11,3.0,,, ch.M_1350 B,,
2009-09-29,1014-23-11,2.0,,, ch.M_1350 A,,
2009-10-04,1014-23-11,7.0,,, ch.M_1350 C,,
2009-10-06,1014-23-11,3.0,,, ch.M_1350 B,,
2009-10-13,1014-23-11,2.0,,, ch.M_1350 B,,
2009-10-16,1014-23-11,1.0,,, ch.M_1350 C,,
2009-11-05,1014-23-11,5.0,,, ch.M_1350 B,,
2009-11-05,1014-23-11,10.0,,, ch.M_1350 A,,
2009-11-20,1111-10-81,2.0,,, ChM_800.A,,
2009-12-05,1014-23-11,10.0,,, ChM_1250.B,,
2009-12-06,1014-23-11,3.0,,, ch.M_1350 C,,
2009-12-25,1017-146-81,1.0,,, ch.M_880 A,,
2009-12-26,1017-146-81,6.0,,, ch.M_880 B,,
2009-12-31,1017-146-81,1.0,,, ch.M_880 B,,
2010-01-01,1017-146-81,5.0,,, ch.M_880 A,,
2010-01-02,1017-146-81,1.0,,, ch.M_880 A,,
2010-01-06,1017-146-81,1.0,,, ch.M_880 A,,
2010-01-12,1017-146-81,2.0,,, ch.M_1250.A,,
2010-01-13,1017-146-81,7.0,,, ch.M_1350 C,,
2010-01-14,1017-146-81,4.0,,, ch.M_1350 B,,
2010-01-15,1017-146-81,3.0,,, ch.M_1350 C,,
2010-01-16,1017-146-81,6.0,,, ch.M_1350 C,,
2010-01-22,1017-146-81,5.0,,, ch.M_1350 B,,
2010-01-22,1017-146-81,1.0,,, ch.M_880 B,,
2010-01-23,1017-146-81,2.0,,, ch.M_1350 C,,
2010-01-26,1017-146-81,7.0,,, ch.M_1350 B,,
2010-01-26,1017-146-81,7.0,,, ch.M_1350 A,,
2010-01-27,1017-146-81,2.0,,, ChM.1250.B,,
2010-02-05,1017-146-81,1.0,,, ch.M_1350 C,,
2010-03-22,1111-10-81,2.0,,,M800.A,,
2010-04-09,1017-146-81,3.0,,, ch.M_1350 A,,
2010-07-19,1111-134-81,15.0,,,M800.C,,
2010-08-20,1111-134-81,1.0,,,M800.C,,
2010-08-21,1111-134-81,2.0,,,M800.B,,
2010-08-24,1111-134-81,2.0,,,M800.B,,
2010-08-26,1111-134-81,3.0,,,M800.A,,
2010-08-27,1111-134-81,2.0,,,M800.C,,
2010-09-04,1111-134-81,1.0,,,M800.B,,
2010-09-07,1111-134-81,1.0,,,M800.B,,
2010-09-09,1111-134-81,1.0,,,M800.C,,
2010-09-17,1017-213-81,1.0,,,B-M7,,
2010-09-17,1017-214-81,45.0,,1.18,A-M7,,
2010-09-18,1111-134-81,20.0,,0.8,A-M7,,
2010-09-20,1111-134-81,3.0,,,A-M7,,
2010-09-21,1111-134-81,90.0,,0.8,B-M7,,
2010-09-25,1017-214-81,1.0,,,C-M7,,
2018-07-11,4410A-14-81,5.0,,,M880.B,,
2018-07-11,4410A-14-81,80.0,,3.6,M880.A,,
2018-07-11,4410A-11-81,2.0,,,M880.B,,
2018-07-11,4410A-11-81,70.0,,3.6,M880.A,,
2010-09-26,1017-214-81,4.0,,,B-M7,,
2010-10-01,1017-229-81,4.0,,, ch.M_1350 B,,
2010-10-02,1017-229-81,7.0,,, ch.M_1350 C,,
