Ngay,TenKhuon,Dot,GhiChu,Hong,TLY
2019-06-22,001-2-81,,Nứt PL,X,
2019-02-12,0150h-13h-81,,,X,
2019-03-12,0150m-11h-81,,,X,
2021-11-27,0150M-19-81,,Minh: Lún PL-Bỏ.,X,
2022-02-15,0150M-20-81,,Minh: Lún-Dày-Bỏ,X,
2021-12-02,0150M-21-81,,Minh: Lún - Bỏ.,X,
2023-04-12,0150m-24-81,,dày lún phân lưu,X,
2019-06-22,0150M-5-81,,Dày lún,X,
2019-05-11,0150M-7-81,,,X,
2019-06-22,0150m-8-81,,Dày lún,X,
2019-06-22,0150m-9-81,,Dày lún,X,
2019-05-11,0150N-11-81,,,X,
2022-05-16,0150n-13h-81,,Minh: Lún-PL-Bỏ.,X,
2022-02-18,0150N-14-81,,Minh: Dày-lún -Bỏ,X,
2022-06-03,0150N-15-81,,Trường báo bỏ.,X,
2022-02-15,0150N-16-81,,Minh: Lún-Dày-Bỏ,X,
2021-12-15,0150N-17-81,,Thành: Lún-Bỏ,X,
2021-12-21,0150N-18-81,,Minh: Lún-Bỏ,X,
2021-04-12,0150N-19-81,,Minh: Sứt đai-Bỏ.,X,
2023-02-15,0150N-21-81,,dày lún bỏ,X,
2023-05-11,0150N-6-81,,dày lún bỏ,X,
2022-09-19,0150n-7-81,,dày lún,X,
2022-05-12,0150N-9-81,,Minh: Lún - Bỏ,X,
2019-03-15,0150t-1h-81,,,X,
2022-08-11,0151-15-81,,Trường: Dương kích thước - bỏ.,X,
2021-06-05,0151-41-81,,Minh: Vỡ khuôn.,X,
2022-05-12,0151-42-81,,Minh: Lún - Bỏ,X,
2020-08-04,0151-43-81,,Sứt đai-bỏ. Minh báo.,X,
2022-06-25,0151A-6-81,,Lanh: Lệch độ dày-Bỏ,X,
2022-06-25,0151A-7-81,,Lanh: Lệch độ dày-Bỏ,X,
2023-06-26,0151A-8-81,,DƯƠNG KT BỎ,X,
2022-10-27,0172-8-81,,lún phân lưu bỏ,X,
2022-10-27,0172-9-81,,lún phân lưu bỏ,X,
2019-06-22,019A-17-11,,BD,X,
2019-08-02,087-11-11,,Xls2019,X,
2019-08-28,1002-7H-11,,1350,X,
2020-09-30,1011-19-11,,Pallets 4-30/09/20,X,
2020-01-14,1011-21-11,,,X,
2022-07-13,1011-22-11,,Hùng: Lún PL bỏ,X,
2021-05-20,1011-23-11,,Hùng: Nứt-Lún PL-Bỏ.,X,
2021-05-28,1011-24-11,,Hùng+Việt báo TL-30/7/21(Ko thấy báo hỏng),X,
2021-06-07,1011-25-11,,Hùng: Nứt lún PL-Bỏ.,X,
2023-07-13,1011-26-11,,lún bỏ,X,
