Ngay,TenKhuon,Dot,NgSua,TL,GhiChu
2019-08-16,001+1-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2020-05-01,008-1-11,VW247,,Y,
2019-05-11,008-3H-11,,,x,
2019-05-11,008-6H-11,,,x,
2018-12-27,008-7H-11,,,x,
2019-05-11,008-8H-11,,,x,
2019-08-16,0150-601-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,0150A-01-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,0150A-16-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,0150A-19-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,0150A-21-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,0150B-8-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2020-05-01,0150M-3-81,HP05,,Y,
2019-08-28,0150M-6-81,DA60,,Y,Thắng Km kiểm kê ko có
2019-04-23,0150n-10-81,,dày lún pl,X,
2020-05-01,0150N-1-81,DA23,,Y,
,0151-30-81,,,X,
2019-08-16,0151-34-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,0167-1-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,019A-3-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,019A-7-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2014-07-15,087+6-11,,,Y,
2020-05-01,087-6-11,2018,,Y,
2019-05-11,087-7-11,,,x,
2019-05-11,087-8-11,,,x,
2019-05-11,088-10-11,,,x,
2019-05-11,088-11-11,,,x,
2019-05-11,088-12-11,,,x,
2014-07-15,088-7-11,,,Y,
2019-05-11,088-8-11,,,x,
2014-07-15,088-9-11,,,Y,
2014-07-15,1001-5H-11,,,Y,
,1001-6-11,,,X,
2019-05-11,1001-6H-11,,,x,
2019-08-16,1001B-4-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1002-4H-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2014-07-15,1011-15-11,,,Y,
2014-07-15,1011-16-11,,,Y,
2014-07-15,1011-17H-11,,,Y,
2019-05-11,1011-18H-11,,,x,
2019-08-16,1011-1X-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-05-11,1011-20-11,,,x,
2020-05-01,1013-039-11,HHT11,,Y,
2019-08-16,1013-125-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1013-127-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1013-143-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1013-167-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2020-05-01,1013-196-11,2019,,Y,
2019-08-16,1013-230-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2020-05-01,1013-248-81,2018,,Y,
2020-05-01,1013-261H-81,2018,,Y,
2019-08-16,1013-269H-81,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2020-05-01,1013-270H-81,2018,,Y,
2020-05-01,1013-272-81,2018,,Y,
2020-05-01,1013-273-81,2018,,Y,
2019-05-11,1013-293-11,,,x,
2019-05-11,1013-294-11,,,x,
2019-05-11,1013-295-11,,,x,
,1013-296-11,,,X,
2020-05-01,1013-302-81,XS06,,Y,
2020-05-01,1013-306-81,HMDA03,,Y,
2020-05-01,1013-307-81,HMDA03,,Y,
2020-05-01,1013-311-81,Xingshun08,,Y,
2020-05-01,1013-312-81,Xingshun08,,Y,
2020-05-01,1013-313-81,Xingshun08,,Y,
2019-04-23,1013-314-81,,dày lún pl,X,
2019-08-16,1013-55-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-101X-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-139-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2020-05-01,1014-144-11,2019,,Y,
2019-08-16,1014-166-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-175-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-181-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-191-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-203-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-08-16,1014-206-11,,,Y,Thắng Km: lập 27/7/19 (404 bộ-có 48 bộ đã bỏ trước đó)
2019-05-11,1014-221-11,,,x,
