Ngay,TenKhuon,Dot,NgSua,TL,GhiChu
2022-04-15,0150M-19-81,,,Y,
2022-04-15,0150m-8-81,,,Y,
2022-04-15,0150N-14-81,,,Y,
2022-04-15,0150N-16-81,,,Y,
2022-04-15,0150N-17-81,,,Y,
2022-04-15,0151-41-81,,,Y,
2022-04-15,0151-43-81,,,Y,
2020-11-28,1011-19-11,,,Y,
2020-11-28,1011-21-11,,,Y,
2021-07-31,1011-24-11,,,Y,
2021-07-31,1012-12-11,,,Y,
2022-04-15,1012-13-11,,,Y,
2022-04-15,1013-278-81,,,Y,
2022-04-15,1013-284-81,,,Y,
2022-04-15,1013-285-81,,,Y,
2022-04-15,1013-286-81,,,Y,
2022-04-15,1013-287-81,,,Y,
2022-04-15,1013-288-81,,,Y,
2022-04-15,1013-289-81,,,Y,
2022-04-15,1013-292X-81,,,Y,
2022-04-15,1013-294X-81,,,Y,
2022-04-15,1013-295-81,,,Y,
2022-04-15,1013-296X-81,,,Y,
2020-11-28,1013-297-11,,,Y,
2020-11-28,1013-298-81,,,Y,
2022-04-15,1013-299s-81,,,Y,
2022-04-15,1013-299X-81,,,Y,
2020-11-28,1013-303-81,,,Y,
2022-04-15,1013-303X-81,,,Y,
2020-11-28,1014-111S-11,,,Y,
2020-11-28,1014-186s-11,,,Y,
2020-11-28,1014-195-11,,,Y,
2020-11-28,1014-211-11,,,Y,
2020-11-28,1014-232-11,,,Y,
2021-03-30,1014-271S-11,,,Y,
2020-11-28,1014-286-11,,,Y,
2022-04-15,1014-287-11,,,Y,
2022-04-15,1014-298-81,,,Y,
2020-11-28,1014-40s-11,,,Y,
2020-11-28,1014-4P-11,,,Y,
2020-11-28,1014-51-11,,,Y,
2022-04-15,1014-69-11,,,Y,
2022-04-15,1016-14-81,,,Y,
2022-04-15,1016-214-81,,,Y,
2022-04-15,1016-231-81,,,Y,
2022-04-15,1016-237-81,,,Y,
2022-04-15,1016-238-81,,,Y,
2022-04-15,1016-239-81,,,Y,
2022-04-15,1016-240-81,,,Y,
2022-04-15,1016-241-81,,,Y,
2022-04-15,1016-242-81,,,Y,
2022-04-15,1016-243-81,,,Y,
2022-04-15,1016-244-81,,,Y,
2022-04-15,1016-245-81,,,Y,
2020-11-28,1016-28P-81,,,Y,
2020-11-28,1016-73-81,,,Y,
2022-04-15,1016-84x-81,,,Y,
2020-11-28,1017+120-81,,,Y,
2020-11-28,1017+444-81,,,Y,
2022-04-15,1017-1042-81,,,Y,
2022-04-15,1017-1058-81,,,Y,
2022-04-15,1017-112X-81,,,Y,
2020-11-28,1017-118X-81,,,Y,
2022-04-15,1017-120X-81,,,Y,
2020-11-28,1017-125x-81,,,Y,
2020-11-28,1017-127X-81,,,Y,
2020-11-28,1017-130-81,,,Y,
2022-04-15,1017-132B-81,,,Y,
2022-04-15,1017-133B-81,,,Y,
2022-04-15,1017-134b-81,,,Y,
2020-11-28,1017-139-81,,,Y,
2022-04-15,1017-139B-81,,,Y,
2022-04-15,1017-141B-81,,,Y,
2022-04-15,1017-143bS-81,,,Y,
2022-04-15,1017-144B-81,,,Y,
2022-04-15,1017-146B-81,,,Y,
2022-04-15,1017-155B-81,,,Y,
2022-04-15,1017-158B-81,,,Y,
2022-04-15,1017-160bs-81,,,Y,
2022-04-15,1017-163-81,,,Y,
2022-04-15,1017-163B-81,,,Y,
2022-04-15,1017-165b-81,,,Y,
2020-11-28,1017-168B-81,,,Y,
2020-11-28,1017-172-81,,,Y,
2022-04-15,1017-173s-81,,,Y,
2022-04-15,1017-173X-81,,,Y,
2022-04-15,1017-174X-81,,,Y,
2022-04-15,1017-175X-81,,,Y,
2022-04-15,1017-176X-81,,,Y,
2022-04-15,1017-178X-81,,,Y,
2020-11-28,1017-179-81,,,Y,
2022-04-15,1017-181X-81,,,Y,
2022-04-15,1017-183X-81,,,Y,
2022-04-15,1017-185X-81,,,Y,
2022-04-15,1017-196X-81,,,Y,
2020-11-28,1017-200-81,,,Y,
2022-04-15,1017-200X-81,,,Y,
2020-11-28,1017-202-81,,,Y,
2020-11-28,1017-203-81,,,Y,
2022-04-15,1017-204J-81,,,Y,
2022-04-15,1017-204X-81,,,Y,
2022-04-15,1017-208X-81,,,Y,
2022-04-15,1017-216B-81,,,Y,
2022-04-15,1017-21H-81,,,Y,
2020-11-28,1017-226-81,,,Y,
2022-04-15,1017-228s-81,,,Y,
2022-04-15,1017-230-81,,,Y,
2020-11-28,1017-232B-81,,,Y,
2022-04-15,1017-233b-81,,,Y,
2022-04-15,1017-234B-81,,,Y,
2020-11-28,1017-235b-81,,,Y,
2022-04-15,1017-236b-81,,,Y,
2022-04-15,1017-237B-81,,,Y,
2022-04-15,1017-238bS-81,,,Y,
2022-04-15,1017-23H-81,,,Y,
2022-04-15,1017-240b-81,,,Y,
2022-04-15,1017-249B-81,,,Y,
2022-04-15,1017-250B-81,,,Y,
2022-04-15,1017-251B-81,,,Y,
2022-04-15,1017-252B-81,,,Y,
2022-04-15,1017-253B-81,,,Y,
2022-04-15,1017-254B-81,,,Y,
2022-04-15,1017-255B-81,,,Y,
2022-04-15,1017-257B-81,,,Y,
2022-04-15,1017-258B-81,,,Y,
2022-04-15,1017-259B-81,,,Y,
2022-04-15,1017-260B-81,,,Y,
2022-04-15,1017-261B-81,,,Y,
2022-04-15,1017-263B-81,,,Y,
2022-04-15,1017-264-81,,,Y,
2022-04-15,1017-265-81,,,Y,
2022-04-15,1017-265J-81,,,Y,
2022-04-15,1017-267-81,,,Y,
2022-04-15,1017-267J-81,,,Y,
2022-04-15,1017-268-81,,,Y,
2022-04-15,1017-271-81,,,Y,
2022-04-15,1017-272-81,,,Y,
2022-04-15,1017-285-81,,,Y,
2022-04-15,1017-286-81,,,Y,
2022-04-15,1017-289-81,,,Y,
2022-04-15,1017-292-81,,,Y,
2022-04-15,1017-295-81,,,Y,
2022-04-15,1017-296-81,,,Y,
2022-04-15,1017-297-81,,,Y,
2022-04-15,1017-306J-81,,,Y,
2020-11-28,1017-393B-81,,,Y,
2020-11-28,1017-439-81,,,Y,
2020-11-28,1017-446-81,,,Y,
2020-11-28,1017-454-81,,,Y,
2020-11-28,1017-459-11,,,Y,
2020-11-28,1017-484-81,,,Y,
2020-11-28,1017-48X-81,,,Y,
2020-11-28,1017-528X-81,,,Y,
2020-11-28,1017-81-81,,,Y,
2022-04-15,1017-880s-81,,,Y,
2022-04-15,1018-290-81,,,Y,
2022-04-15,1019-114-81,,,Y,
2022-04-15,1019-433-81,,,Y,
2022-04-15,1019-441-81,,,Y,
2022-04-15,1019-461-81,,,Y,
2020-11-28,1019-465-81,,,Y,
2022-04-15,1019-466-81,,,Y,
2022-04-15,1019-470-81,,,Y,
2022-04-15,1019-472-81,,,Y,
2022-04-15,1019-478-81,,,Y,
2022-04-15,1019-488s-81,,,Y,
2022-04-15,1019-491-81,,,Y,
2022-04-15,1019-494-81,,,Y,
2022-04-15,1019-495-81,,,Y,
2022-04-15,1019-495X-81,,,Y,
2022-04-15,1019-496-81,,,Y,
2022-04-15,1019-496X-81,,,Y,
2022-04-15,1019-497X-81,,,Y,
2022-04-15,1019-498-81,,,Y,
2022-04-15,1019-498X-81,,,Y,
2020-11-28,1019-499-81,,,Y,
2022-04-15,1019-500-81,,,Y,
2022-04-15,1019-500X-81,,,Y,
