NgayNT,ID,TenKhuon,Dot,Lc,Hq,Sth,HqKg,MinKg,Maxkg0,Tinhtrang,NgayNhap,NgayThu,Ngaycuoi,Hong,Ghichu,Dat,Hangx,Duoi,Loai,TL
2019-05-25,236.0,008-10H-11,HP125,40.0,1228.0,2270.0,9603.5,4.1,4.28,B-M3 đủ,2018-10-27,2018-11-13,2019-05-23,,,Đạt,HP,11,008-,
2019-04-07,155.0,008-8H-11,2018,4.0,4.0,0.0,0.0,,0.0,M1350.A,,2018-04-15,2018-05-26,X,,Đạt,20,11,008-,
2019-05-25,237.0,008-9H-11,HP125,20.0,227.0,109.0,457.8,3.9,4.2,A-M3 xước,2018-10-27,2018-11-13,2019-05-22,,,Đạt,HP,11,008-,
2019-04-07,146.0,0150H-10H-81,2018,10.0,400.0,0.0,0.0,1.4,1.5,A-M8 dkl 1.5/5.55m,,2018-01-16,2018-04-03,,,Đạt,20,81,0150,
2019-05-25,177.0,0150H-13H-81,HP126,11.0,285.0,0.0,0.0,1.3,1.42,mờ chỉ mt-5.3m,2018-11-08,2018-11-19,2019-01-28,X,"Dày, lún phân lưu (ko đạt - Giang);Nt 24/5/19",Ko,HP,81,0150,
2019-05-25,178.0,0150H-14H-81,HP126,20.0,401.0,298.0,391.32,1.3,1.55,A-M7 cào-5.55m,2018-11-08,2018-11-10,2019-03-29,,,Đạt,HP,81,0150,
2019-12-31,759.0,0150H-15H-81,HP131,12.0,186.0,1030.0,1387.25,1.24,1.46,B-M8 vảy mt,2019-02-14,2019-03-26,2019-12-20,,- Đạt,Đạt,HP,81,0150,
2019-12-31,760.0,0150H-16H-81,HP131,19.0,356.0,1674.0,2137.29,1.16,1.36,C-M9 ok-5.3m,2019-02-14,2019-03-27,2019-06-12,,- Đạt,Đạt,HP,81,0150,
2019-09-13,487.0,0150H-17-81,BR87,5.0,335.0,2430.0,3028.4,1.18,1.41,B-M9 xé-5.55m,2019-04-16,2019-05-10,2019-06-17,,Đạt,Đạt,BR,81,0150,
2019-12-11,671.0,0150H-17L-81,VLT09,1.0,1.0,0.0,0.0,,0.0,C-M9 thử,2019-07-11,2019-07-17,2019-07-17,,- (Đ),Đạt,VL,81,0150,
2019-09-13,488.0,0150H-18-81,BR87,5.0,472.0,3464.0,8228.75,1.44,1.2,A-M9 xươớc-4.6m,2019-04-16,2019-05-10,2019-06-18,,Đạt,Đạt,BR,81,0150,
2020-08-21,1463.0,0150H-19-81,JG20.002,0.0,,0.0,0.0,,0.0,,2020-03-26,,,,178X120-1JG ®ît 02/2020 - 26/03/2020-Đạt,Đạt,JG,81,0150,
2020-08-21,1465.0,0150H-20-81,JG20.002,0.0,,0.0,0.0,,0.0,,2020-03-26,,,,178X120-1JG ®ît 02/2020 - 26/03/2020-Đạt,Đạt,JG,81,0150,
2019-05-25,199.0,0150M-10H-81,2018,12.0,226.0,66.0,16.8,1.26,1.2,C-M9 xé-4.6m,,2018-12-05,2019-03-29,,,Đạt,20,81,0150,
2019-05-25,200.0,0150M-11H-81,2018,19.0,277.0,220.0,297.9,1.28,1.24,phôi kém cháy mặt,,2018-11-10,2019-03-11,X,Dày lún phân lưu (Giang: Ko đạt),Ko,20,81,0150,
2019-12-31,761.0,0150M-12H-81,HP131,6.0,60.0,330.0,435.6,1.32,1.32,A-M9 xé,2019-02-14,2019-02-22,2019-03-29,,- Đạt,Đạt,HP,81,0150,
2019-12-31,762.0,0150M-13H-81,HP131,1.0,1.0,0.0,0.0,,0.0,sun đầu,2019-02-14,2019-02-22,2019-02-22,,- Đạt,Đạt,HP,81,0150,
2019-07-02,403.0,0150M-14-81,VLT05,3.0,66.0,384.0,433.92,1.28,1.1,B-M9 đủ-4.6m,2019-03-27,2019-04-01,2019-04-11,,,Đạt,VL,81,0150,
2019-07-02,404.0,0150M-15-81,VLT05,3.0,24.0,120.0,168.0,1.4,1.4,A-M9 giao k3-5.55m,2019-03-27,2019-04-01,2019-04-11,,,Đạt,VL,81,0150,
2019-09-13,514.0,0150M-16-81,BR90,19.0,395.0,2516.0,3373.44,1.35,1.22,A-M9 đủ-4.6m,2019-05-13,2019-04-13,2019-08-21,,Đạt,Đạt,BR,81,0150,
2019-09-13,515.0,0150M-17-81,BR90,17.0,281.0,1592.0,2282.26,1.1,1.54,A-M9 vảy mt,2019-05-13,2019-04-13,2019-08-20,,Đạt,Đạt,BR,81,0150,
2020-01-07,1021.0,0150M-18-81,BR101,1.0,65.0,470.0,601.6,1.28,1.28,A-M9 đủ,2019-10-07,2019-10-30,2019-10-30,,178X120-1 - Đạt,Đạt,BR,81,0150,
2020-01-07,1023.0,0150M-19-81,BR101,2.0,53.0,401.0,477.06,1.32,1.06,B-M8 đủ-4.6m,2019-10-07,2019-11-03,2019-11-04,,178X120-1 - Đạt,Đạt,BR,81,0150,
2019-12-31,763.0,0150N-12H-81,HP131,23.0,143.0,610.0,852.4,1.14,1.48,C-M3 lồi nổi vảy,2019-02-14,2019-02-14,2019-06-28,,- Ko.Đạt-Lún,Ko,HP,81,0150,
2019-12-31,764.0,0150N-13H-81,HP131,20.0,99.0,620.0,967.2,1.23,1.92,A-M8 vảy xé dày-5.55m,2019-02-14,2019-02-14,2019-12-17,,- Ko.Đạt-Lún,Ko,HP,81,0150,
2019-07-02,405.0,0150N-14-81,VLT04,17.0,621.0,3685.0,5282.74,1.2,1.37,B-M9 đủ-4.6m,2019-03-21,2019-03-27,2019-06-10,,,Đạt,VL,81,0150,
2019-07-02,406.0,0150N-15-81,VLT04,17.0,614.0,3533.0,5116.25,1.2,1.65,A-M9 dày bỏ,2019-03-21,2019-03-22,2019-06-08,,,Đạt,VL,81,0150,
2019-12-11,665.0,0150N-16-81,VLT09,12.0,478.0,2750.0,4059.0,1.44,1.3,C-M8 đủ -4.6m,2019-07-11,2019-07-15,2019-10-14,,- (Đ),Đạt,VL,81,0150,
