TenKhuon,GC
55402B-10-11,G15.0.0.T02-X1. Hùng-8/8/22
55402B-11-11,G15.0.0.T02-X1. Hùng-8/8/22
55402B-9-11,G15.0.0.T02-X1. Hùng-8/8/22
AE028-4-11,G19.0.0.T01-X1. Hùng-8/8/22
AE030-1-11,G21.0.0.T04-X1. Hùng-8/8/22
HOLLC04-1-11,G08.0.0.T01-X1. Hùng-8/8/22
HOLLC05-1-11,G08.0.0.T01-X1. Hùng-8/8/22
HOLLC06-1-11,G08.0.0.T01-X1. Hùng-8/8/22
HOLSR4710-1-11,G21.0.0.T04-X1. Hùng-8/8/22
TE02002-1-11,G03.0.0.T02-X1. Hùng-8/8/22
VIC2202-1-81,G08.0.0.T03-X1. Hùng-8/8/22
VIC2205-1-11,G21.0.0.T03-X1. Hùng-8/8/22
VIC55301B-35-11,G03.0.0.T02-X1. Hùng-8/8/22
VIC55301B-36-11,G03.0.0.T02-X1. Hùng-8/8/22
VIC55301B-37-11,G03.0.0.T02-X1. Hùng-8/8/22
