Ngay,TenKhuon,Kgthanh
2005-07-29,1001B-1-11,10.5
2005-08-01,1019-173-81,1.05
2005-08-10,1021-1T-51,0.57
2005-08-19,1019-3T-51,1.1
2005-08-20,1019-3T-51,1.15
2005-08-27,1001B-1-11,10.15
2005-08-29,1013-8T-11,2.27
2005-08-29,1013-8T-11,2.27
2005-08-30,1013-15T-11,1.8
2005-09-12,1019-3T-51,1.1
2005-09-13,1019-3T-51,1.13
2005-09-20,1021-1J-51,0.47
2005-09-24,1021-1J-51,0.48
2005-09-24,1021-1J-51,0.48
2005-09-24,1021-2J-51,0.48
2005-09-24,1013-15T-11,1.92
2005-09-24,1021-2J-51,0.48
2005-09-25,1018-4J-51,0.6
2005-09-25,1021-3J-51,0.48
2005-09-25,1018-5J-51,0.6
2005-09-26,1018-4J-51,0.6
2005-09-26,1018-5J-51,0.6
2005-09-26,1018-5J-51,0.6
2005-09-29,1018-5J-51,0.61
2005-09-29,1018-4J-51,0.61
2005-09-29,1013-15T-11,1.95
2005-10-06,1018-4J-51,0.6
2005-10-06,1018-5J-51,0.65
2005-10-06,1018-5J-51,0.6
2005-10-06,1018-4J-51,0.62
2005-10-08,1013-15T-11,2.05
2005-10-09,1013-15T-11,2.05
2005-10-10,1018-4J-51,0.64
2005-10-10,1018-5J-51,0.61
2005-10-11,1018-5J-51,0.62
2005-10-11,1018-4J-51,0.64
2005-10-11,1017-20-81,1.4
2005-10-12,1018-5J-51,0.625
2005-10-12,1018-4J-51,0.64
2005-10-13,1018-5J-51,0.62
2005-10-14,1013-15T-11,2.07
2005-10-14,1018-5J-51,0.64
2005-10-15,1013-15T-11,2.1
2005-10-15,1013+20-11,1.82
2005-10-15,1018-5J-51,0.64
2005-10-16,1017-20-81,1.37
2005-10-16,1017-20-81,1.4
2005-10-19,1018-5J-51,0.64
2005-10-19,1018-4J-51,0.64
2005-10-19,1019-3T-51,1.16
2005-10-20,1019-3T-51,1.17
2005-10-20,1018-4J-51,0.61
2005-10-20,1018-5J-51,0.62
2005-10-21,1018-4J-51,0.64
2005-10-25,1001B-1-11,10.3
2005-10-26,1017-20-81,1.35
2005-11-02,1017-20-81,1.53
2005-11-07,1018-4J-51,0.67
2005-11-19,1018-4J-51,0.66
2005-11-23,1019-3T-51,1.18
2005-11-24,1011-2-11,5.5
2005-11-24,1011-2-11,5.5
2005-11-24,1011-2-11,5.2
2005-11-24,1011-2-11,5.2
2005-11-24,1019-3T-51,1.17
2005-11-24,1019-3T-51,1.17
2005-11-27,1017-20-81,1.5
2005-11-29,1012-10-11,3.3
2005-11-29,1018-5J-51,0.66
2005-11-30,1018-5J-51,0.67
2005-11-30,1018-4J-51,0.66
2005-12-05,1013+20-11,1.85
2005-12-05,1013-15T-11,2.2
2005-12-06,1013+20-11,1.9
2005-12-10,1018-5J-51,0.68
2005-12-11,1018-5J-51,0.7
2005-12-11,1013+20-11,1.95
2005-12-11,1018-5J-51,0.66
2005-12-11,1018-4J-51,0.67
2005-12-12,1001B-1-11,10.5
2005-12-13,1111-8-81,0.8
2005-12-13,1111-8-81,0.85
2005-12-14,1111-6-81,0.85
