TenKhuon,MinOfNgay,MaxOfNgay
0159-1-81,2002-03-08,2002-12-26
0160-1-81,2003-01-12,2003-01-14
1012-3-11,2002-03-12,2003-02-10
1014-32-11,2002-06-09,2003-04-05
019-1-11,2002-12-21,2003-06-30
1017-162-81,2004-02-10,2004-02-20
0162-1-11,2004-08-24,2004-08-24
1013-240-11,2003-10-12,2005-04-03
1013-9T-11,2004-11-12,2005-06-03
1018-2j-51,2005-02-23,2005-06-15
1013-8t-11,2004-11-16,2005-08-29
1021-1T-51,2005-05-25,2005-09-22
1013-15T-11,2005-07-07,2005-12-05
1013+20-11,2005-10-13,2006-02-19
1113-12-11,2002-10-28,2006-03-04
1018-5J-51,2005-09-25,2006-04-06
1017-618-81,2006-04-24,2006-05-22
1017-630-81,2006-05-13,2006-06-04
1001B-1-11,2002-09-10,2006-08-31
1019-3T-51,2005-07-26,2006-09-26
0158-4j-81,2006-05-25,2007-01-12
100X44-3-11,2006-11-08,2007-01-28
1111-603-81,2006-11-23,2007-03-15
1018-602-51,2006-11-30,2007-04-06
1016-50-11,2002-11-05,2007-04-17
019-4J-11,2006-03-03,2007-04-24
1018-4J-51,2005-09-25,2007-04-29
1111-6-81,2005-12-13,2007-06-05
1018-604-51,2006-12-02,2007-08-11
1021-2J-51,2005-09-21,2007-09-06
1012-10-11,2003-06-04,2007-11-07
1111-8-81,2005-06-22,2007-11-19
1018-24J-81,2007-03-29,2007-11-28
0164-2-81,2007-12-21,2007-12-25
1018-22j-81,2007-03-26,2008-01-15
1021+3j-51,2006-06-12,2008-02-01
1016-613-81,2007-07-20,2008-02-23
1018-15J-51,2006-07-01,2008-02-27
1111-35J-81,2007-10-18,2008-03-26
0163-1V-81,2005-07-02,2008-05-05
1021-4J-51,2007-07-02,2008-06-03
1021-3J-51,2005-09-21,2008-07-21
1021-1J-51,2005-09-20,2008-07-23
1020-3-51,2008-08-06,2008-11-17
1013-701-11,2008-05-14,2008-12-06
1111-610-81,2007-05-25,2009-01-12
1018-2-81,2008-11-12,2009-03-09
1018-1-81,2008-11-12,2009-03-11
1019-610-81,2008-09-05,2009-03-11
1212-2-51,2008-10-04,2009-04-10
1111-708-81,2009-04-07,2009-04-17
1016-703-81,2008-02-25,2009-04-18
1020-6-51,2008-12-09,2009-05-06
1020-4-51,2008-12-04,2009-05-14
1020-5-51,2008-12-03,2009-05-14
1013-801X-11,2009-01-18,2009-05-28
1017-809-81,2008-04-21,2009-06-14
1021-4J-81,2008-08-24,2009-06-23
1018-51-81,2008-08-24,2009-07-01
1018-43-81,2008-05-22,2009-07-27
1016-3J-81,2008-02-18,2009-07-29
1016-903-81,2009-07-02,2009-08-13
1017-823-81,2008-07-08,2009-08-18
1013-635-11,2007-08-20,2009-08-22
1018-65-81,2009-05-09,2009-09-02
1017-617-81,2006-04-21,2009-09-07
1013-711-11,2008-05-19,2009-09-15
1017-37J-81,2007-01-17,2009-09-16
1018-59-81,2008-10-22,2009-09-25
1021-6-81,2008-08-14,2009-09-30
1017-159-81,2009-08-14,2009-10-05
1019-43-81,2009-05-05,2009-10-11
1111-80-81,2009-07-11,2009-10-15
1111-48-81,2008-04-24,2009-10-17
1021-5-81,2009-06-04,2009-10-23
1018-63-81,2009-03-26,2009-10-26
1018-69-81,2009-07-06,2009-10-29
0152-1201-81,2002-01-29,2009-10-31
1018-57-81,2008-10-22,2009-11-15
1018-50j-81,2008-09-09,2009-11-24
1014-24-11,2009-10-09,2009-12-07
1014-21-11,2009-06-20,2009-12-07
0163-2-81,2008-04-30,2009-12-11
1014-25-11,2009-10-10,2009-12-13
1013-901-11,2009-08-28,2009-12-15
1017-943-81,2009-11-13,2009-12-16
1016-906-81,2009-10-04,2009-12-18
019A-4-11,2008-11-15,2009-12-26
1021-5j-51,2007-07-03,2010-01-04
1021-7J-51,2008-02-20,2010-01-05
1021-6J-51,2007-07-05,2010-01-06
1021-2-51,2008-02-21,2010-01-07
1013-916-11,2009-10-19,2010-01-13
1017-145-81,2003-11-29,2010-01-13
1013-944-11,2009-10-11,2010-01-15
1017-97-81,2008-12-14,2010-01-17
1017-927-81,2009-12-23,2010-01-19
1017-160-81,2009-08-15,2010-01-20
1018-41J-81,2008-02-13,2010-01-22
1017-923-81,2009-11-06,2010-01-29
1017-929-81,2009-12-31,2010-01-29
1016-15-81,2009-11-22,2010-02-04
1016-914-81,2010-01-11,2010-02-05
1013-907-11,2009-07-15,2010-02-21
1013-812-11,2008-12-31,2010-02-21
1016-17-81,2010-01-18,2010-02-22
1014-28-11,2009-12-07,2010-02-22
1014-29-11,2009-12-05,2010-02-24
1111-90-81,2009-10-20,2010-02-26
1111-81-81,2009-07-10,2010-02-27
1111-88-81,2009-11-06,2010-03-01
1111-89-81,2009-09-06,2010-03-02
1016-911-81,2009-11-20,2010-03-07
1111-85-81,2009-09-29,2010-03-22
1016-805X-81,2009-01-13,2010-03-24
0151-3-81,2008-10-03,2010-04-02
1013-926-11,2009-12-11,2010-04-15
0157-1V-81,2008-03-05,2010-04-18
1111-75-81,2009-06-05,2010-04-23
1111-93-81,2009-11-19,2010-04-24
1013-925-11,2009-12-18,2010-05-04
1013-923-11,2010-01-11,2010-05-05
1016-21-81,2010-03-21,2010-05-11
1018-38J-81,2008-03-23,2010-05-17
1018-47-81,2008-05-19,2010-05-19
1014-909-11,2009-12-14,2010-05-19
1018-49J-81,2008-08-21,2010-05-20
1013-917-11,2009-11-26,2010-05-20
1016-22-81,2010-03-21,2010-05-23
1017-169-81,2010-04-07,2010-05-23
1013-948-11,2010-03-19,2010-05-23
1016-18-81,2010-03-19,2010-05-24
1016-20-81,2010-03-20,2010-05-25
1017+177-81,2009-11-23,2010-05-27
